Country;Sector;Product CN Code;Description;Default Value (direct emissions);Default Value (Indirect emissions);Default Value (total emissions);2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up);Underlying production route determining CBAM BM
Canada;Iron and steel;721730;Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excl. plated or coated with zinc, and bars and rods);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;721790;Wire of iron or non-alloy steel, in coils, plated or coated (excl. plated or coated with base metals, and bars and rods);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7218;"Stainless steel in ingots or other primary forms (excl. remelting scrap ingots and products obtained by continuous casting); semi-finished products of stainless steel";;;;;;;
Canada;Iron and steel;72181000;Steel, stainless, in ingots and other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting);3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;721891;"Semi-finished products of stainless steel, of rectangular ""other than square"" cross-section";3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72189911;Semi-finished products of stainless steel, of square cross-section, rolled or obtained by continuous casting;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72189919;Semi-finished products of stainless steel, of square cross-section, forged;3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;72189920;Semi-finished products of stainless steel, of circular cross-section or of cross-section other than square or rectangular, rolled or obtained by continuous casting;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72189980;Semi-finished products of stainless steel, forged (excl. products of square or rectangular cross-section);3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;7219;"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""";;;;;;;
Canada;Iron and steel;72191100;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of > 10 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;721912;Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;721913;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 3 mm and < 4,75 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;721914;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of < 3 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;721921;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;721922;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm and <= 10 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72192300;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 3 mm and < 4,75 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72192400;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 3 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72193100;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 4,75 mm";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;721932;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 3 mm but < 4,75 mm";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;721933;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 1 mm but < 3 mm";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;721934;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 0,5 mm but <= 1 mm";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;721935;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of < 0,5 mm";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;721990;"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;7220;"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""";;;;;;;
Canada;Iron and steel;72201100;Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of >= 4,75 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;72201200;Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of < 4,75 mm;3.21;;3.21;3.531;3.852;4.173;
Canada;Iron and steel;722020;"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced""";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;722090;"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked";3.29;;3.29;3.619;3.948;4.277;
Canada;Iron and steel;7221;Bars and rods of stainless steel, hot-rolled, in irregularly wound coils;3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;7222;"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s.";;;;;;;
Canada;Iron and steel;722211;Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of circular cross-section;3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;722219;Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excl. of circular cross-section);3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;722220;Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished;3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;722230;Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or not further worked than forged, or forged, or hot-formed by other means and further worked, n.e.s.;3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;722240;Angles, shapes and sections of stainless steel, n.e.s.;3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;7223;Wire of stainless steel, in coils (excl. bars and rods);;;;;;;
Canada;Iron and steel;722300;Wire of stainless steel, in coils (excl. bars and rods);3.05;;3.05;3.355;3.66;3.965;
Canada;Iron and steel;7224;Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products of alloy steel other than stainless (excl. waste and scrap in ingot form, and products obtained by continuous casting);;;;;;;
Canada;Iron and steel;722410;Steel, alloy, other than stainless, in ingots or other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;72249002;Semi-finished products of tool steel;3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249003;Semi-finished products of high-speed steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting the width measuring < twice the thickness;3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249005;Semi-finished products of steel containing by weight <= 0,7% of carbon, 0,5% to 1,2% of manganese, 0,6% to 2,3% of silicon, or of steel containing by weight >= 0,0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72, of square or rectangular cross-section, hot rolled or obtained by continuous casting, the width measuring < twice the thickness;3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249007;Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring < twice the thickness (excl. of tool steel, high-speed steel and articles of subheading 7224.90.05);3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249014;Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring >= twice the thickness (excl. of tool steel);3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249018;Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, forged (excl. of tool steel);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;72249031;Semi-finished products of steel containing by weight 0,9% to 1,15% carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting;3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249038;Semi-finished products of alloy steel, other than stainless steel, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0,9% to 1,15% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum);3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72249090;Semi-finished products of alloy steel, other than stainless steel, forged (excl. of tool steel and products of square or rectangular, circular or polygamol cross-section);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;7225;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""";;;;;;;
Canada;Iron and steel;72251100;Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented;4.7;;4.7;5.17;5.64;6.11;(C)
Canada;Iron and steel;72251910;Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, hot-rolled;3.59;;3.59;3.949;4.308;4.667;(C)
Canada;Iron and steel;72251990;"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", non-grain-oriented";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;722530;Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of silicon-electrical steel);3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;722540;Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils (excl. products of silicon-electrical steel);3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;722550;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of silicon-electrical steel)";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;72259100;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel)";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;72259200;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;72259900;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. plated or coated with zinc and products of silicon-electrical steel)";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;7226;"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""";;;;;;;
Canada;Iron and steel;72261100;"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", grain-oriented";4.7;;4.7;5.17;5.64;6.11;(C)
Canada;Iron and steel;72261910;Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, not further worked than hot-rolled;3.59;;3.59;3.949;4.308;4.667;(C)
Canada;Iron and steel;72261980;"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, cold-rolled ""cold-reduced"", whether or not further worked, or hot-rolled and further worked, non-grain-oriented";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;72262000;"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ""cold-reduced""";3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;722691;Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel);3.59;;3.59;3.949;4.308;4.667;(F)
Canada;Iron and steel;72269200;"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of high-speed steel or silicon-electrical steel)";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;722699;"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. products of high-speed steel or silicon-electrical steel)";3.66;;3.66;4.026;4.392;4.758;(F)
Canada;Iron and steel;7227;Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils;3.42;;3.42;3.762;4.104;4.446;(C)
Canada;Iron and steel;7228;"Other bars and rods of alloy steel other than stainless, angles, shapes and sections of alloy steel other than stainless, n.e.s.; hollow drill bars and rods, of alloy or non-alloy steel";;;;;;;
Canada;Iron and steel;72281020;Bars and rods of high-speed steel, not further worked than hot-rolled, hot-drawn or extruded, and hot-rolled, hot-drawn or extruded, not further worked than clad (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;72281050;Bars and rods of high-speed steel, forged (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;72281090;Bars and rods of high-speed steel, not further worked than cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked (excl. forged products, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;722820;Bars and rods of silico-manganese steel (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3.42;;3.42;3.762;4.104;4.446;(F)
Canada;Iron and steel;722830;Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3.42;;3.42;3.762;4.104;4.446;(C)
